Open,High,Low,Close,Volume
5.982066,5.0570903,7.315001,6.158609,108815030.0
4.6674356,5.1606574,4.2169766,4.427812,73306216.0
29.168867,32.191536,30.11525,30.035252,135655790.0
139.01907,137.10352,135.27745,137.72905,44641360.0
7.5607443,7.8881526,7.571751,7.746097,97283740.0
98.56395,99.974045,98.051575,98.21017,57826684.0
46.331192,45.340897,46.093685,46.567276,99824344.0
89.15773,90.975174,89.37046,89.667046,68141040.0
32.941326,32.38819,31.654846,34.963326,134090460.0
1.9568702,2.3202627,1.7890894,2.4060206,55336984.0
1.3483783,1.2737806,1.1150191,0.98625904,45571236.0
4.231553,5.0483356,4.724219,3.8961463,77940680.0
8.811383,8.554029,7.6259294,6.0116057,74010050.0
1.6536247,2.6090124,2.1925547,1.8449322,53525596.0
5.0363035,5.1623034,4.049994,4.8787646,74900590.0
8.557378,8.506689,7.166554,7.4543757,66206450.0
117.134285,117.913,116.62797,116.39009,40800910.0
42.59012,41.641304,42.065628,42.474262,99506400.0
8.20872,7.894344,8.725121,7.5482936,117065790.0
60.96551,61.2317,60.61056,60.00824,91096120.0
137.03307,135.32452,132.53606,134.95886,44325800.0
3.051635,2.0901086,1.5252783,2.1449332,51554396.0
23.121227,20.408438,21.143116,23.084547,116524136.0
1.40129,3.174425,2.668444,3.154945,73182400.0
2.6541188,2.9449384,3.029238,2.951036,60568390.0
1.3346568,1.14838,1.6620696,1.9507309,41152264.0
1.3126575,1.567064,1.2309573,0.9484592,45716948.0
9.348989,9.193916,9.011492,9.727154,145872540.0
2.2005055,2.4503648,2.7843993,2.6229434,54065090.0
12.736436,14.387234,12.611546,10.632582,73170860.0
33.827816,32.391113,32.86369,33.602226,108667360.0
2.524812,2.4012563,2.543791,2.225595,57505220.0
27.148891,25.220837,25.749998,27.907808,123736220.0
21.00256,21.44102,20.675365,21.130234,139418020.0
3.0512135,2.7310884,3.2080786,3.383945,67953810.0
12.564187,11.039444,10.479736,11.782927,97677940.0
1.9790641,1.4921644,2.215172,2.5952582,46112560.0
26.201403,23.389805,23.453314,24.818048,95881860.0
